Times	XFX-Tank-base 3.3	HX-TANK-base2.9	XJ-R1-Ñ¹Á¦	XJ-R2-Ñ¹Á¦	J-PTHC02A_P	J-HCXZ01Z_P	J-PTHC04A_P	J-PTHC05A_P	J-PTHC01A_P
104:00:00	2.726169825	3.399555922	1.087097049	4.057969093	23.24843407	24.20260429	23.89471054	24.11028862	22.24224281
104:05:00	2.692708254	3.399555922	1.107900977	4.056574821	22.85610771	24.12806702	23.52920341	24.02563286	21.92784119
104:10:00	2.659557104	3.399555922	1.14824605	4.053295612	22.42538643	23.78878593	23.09672737	23.68165207	21.50371552
104:15:00	2.626648664	3.399555922	1.191059589	4.051528931	22.86754799	24.04496384	23.50261497	23.9409771	21.8979187
104:20:00	2.593553543	3.399555922	1.218760014	4.048047543	22.92531586	24.15675354	23.56905556	24.04535294	21.96874428
104:25:00	2.561124802	3.399555922	1.235851407	4.048057079	22.36469841	23.70244408	23.02113724	23.58532715	21.44483185
104:30:00	2.528978825	3.399555922	1.26464498	4.050280571	22.90014458	24.14205742	23.56733894	24.01911545	21.96622658
104:35:00	2.49685812	3.399555922	1.284111023	4.051787853	22.50325394	23.57385826	23.15093422	23.46253586	21.5171032
104:40:00	2.464066267	3.399555922	1.285373449	4.049039841	22.3805542	23.46369553	23.0472641	23.34229279	21.41110229
104:45:00	2.431365967	3.399555922	1.297998786	4.05885458	22.1048069	23.16980743	22.75391769	23.07071114	21.10109901
104:50:00	2.399214506	3.399555922	1.319254637	4.072864532	22.6107235	23.57409668	23.26757622	23.47855949	21.60857964
104:55:00	2.367535591	3.399555922	1.33378315	4.091768265	23.04575539	23.92511177	23.69990158	23.81672096	22.03240013
105:00:00	2.336057186	3.399555922	1.341858029	4.106682777	22.980299	23.94293594	23.6650486	23.83672905	21.96789932
105:05:00	2.304733276	3.399555922	1.35858202	4.120898724	22.47438431	23.56168365	23.15529251	23.44937706	21.47291183
105:10:00	2.273946285	3.399555922	1.382494569	4.131027222	23.70529556	24.49704361	24.32874107	24.38489723	22.57771873
105:15:00	2.243359089	3.399555922	1.408537388	4.138682365	22.28152847	23.3747139	22.95243263	23.26647758	21.28636932
105:20:00	2.212162733	3.399555922	1.444247007	4.14043951	21.90611839	22.93501091	22.56601524	22.8280201	20.91237259
105:25:00	2.181854725	3.399555922	1.394046426	4.139591694	22.14261818	23.09013367	22.7984066	22.98973274	21.14118385
105:30:00	2.151125431	3.399555922	1.385246634	4.142199516	21.70368958	22.56124496	22.33183861	22.48437691	20.65738678
105:35:00	2.120383501	3.399555922	1.372488856	4.146949768	22.17449951	23.14517593	22.81492233	23.05873871	21.15746307
105:40:00	2.088744402	3.399555922	1.387413144	4.1494627	23.23767281	24.18871117	23.88045502	24.09846306	22.22637367
105:45:00	2.058888912	3.399555922	1.399115562	4.15622139	22.878088	23.86181831	23.51246262	23.77238655	21.86942673
105:50:00	2.058888912	3.399555922	1.399605393	4.16679287	22.8938961	23.81801224	23.52760506	23.7269516	21.86266899
105:55:00	2.058888912	3.399555922	1.404185057	4.177863598	22.80865479	23.86044693	23.44158554	23.756567	21.80326843
106:00:00	2.058888912	3.399555922	1.40292275	4.189716339	22.80177498	23.90156555	23.45983696	23.79870033	21.79955673
